,location,district,rooms,size,level,max_levels,price
257,"город Ташкент, Мирзо-Улугбекский район, Аккурган",Мирзо-Улугбекский,3,70,5,5,46500
258,"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,3,62,5,5,35000
259,"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,2,50,1,4,34000
260,"город Ташкент, Юнусабадский район, Минор",Юнусабадский,3,78,4,4,56000
261,"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,2,62,2,9,63000
262,"город Ташкент, Мирабадский район, Нукус",Мирабадский,8,350,2,12,260000
263,"город Ташкент, Яшнободский район, 2-й проезд Авиасозлар",Яшнободский,3,63,4,4,40000
264,"город Ташкент, Мирзо-Улугбекский район, Карасу 3-й квартал",Мирзо-Улугбекский,4,91,1,5,75000
265,"город Ташкент, Шайхантахурский район, Караташ",Шайхантахурский,3,81,6,9,54900
266,"город Ташкент, Мирзо-Улугбекский район, Феруза-1",Мирзо-Улугбекский,4,86,3,4,42000
267,"город Ташкент, Мирзо-Улугбекский район, Аккурган",Мирзо-Улугбекский,2,54,3,5,54500
268,"город Ташкент, Мирабадский район, 7-й проезд Мироншаха",Мирабадский,3,90,3,5,105000
269,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,2,40,2,5,37000
270,"город Ташкент, Юнусабадский район, Юнусабад 10-й квартал",Юнусабадский,1,45,5,5,24000
271,"город Ташкент, Олмазорский район, Малая кольцевая дорога",Олмазорский,3,89.55,7,9,40000
272,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,4,92,3,5,67000
273,"город Ташкент, Яккасарайский район, Нукус",Яккасарайский,3,100,3,4,1000
274,"город Ташкент, Мирзо-Улугбекский район, Феруза-1",Мирзо-Улугбекский,4,95,1,4,77000
275,"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,4,102,4,9,65000
